timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946833318814,-5,1,11,-10,-26,-25,-2,-7
1523946833318814,9,10,6,3,12,56,19,21
1523946833327842,-2,-10,-10,6,14,-17,-12,-6
1523946833327842,-1,-3,-3,-1,2,16,3,-3
1523946833333858,-2,2,2,-23,-39,-9,-5,-2
1523946833333858,-1,-5,-5,18,33,19,2,-7
1523946833341876,-2,-1,1,13,5,-18,-3,-1
1523946833341876,4,6,7,2,39,33,10,7
1523946833355913,-2,-9,-6,-30,16,-26,-1,-1
1523946833355913,-4,-2,19,21,-49,-23,-3,-7
1523946833364937,-4,3,14,9,9,-17,11,-1
1523946833364937,-7,-16,-15,27,-22,0,-12,-9
1523946833377979,0,-1,-1,-24,-31,-1,6,-2
1523946833377979,-2,-8,-26,-46,-50,-15,-23,-10
1523946833386996,-1,-3,-22,-9,-3,-10,-5,-4
1523946833386996,3,11,10,-2,-23,6,15,8
1523946833402036,-4,-1,0,5,-14,-17,6,-3
1523946833402036,1,6,12,5,48,16,-8,3
1523946833404040,-4,-16,-32,-2,-21,-13,-5,-11
1523946833404040,-5,-2,-5,-17,23,-13,2,0
1523946833416072,-1,0,6,16,17,5,-12,-1
1523946833416072,7,11,11,1,-24,21,27,10
1523946833425096,1,1,7,-7,-3,17,9,2
1523946833425096,5,-2,3,7,-10,5,-5,6
1523946833438132,1,-1,-11,0,-5,-6,13,3
1523946833438132,-10,2,31,17,27,-9,-10,-6
1523946833447154,0,0,3,6,3,19,-1,0
1523946833447154,-2,-3,2,-4,0,-11,-5,-3
1523946833462197,1,1,-5,-7,-6,6,-1,-4
1523946833462197,-4,-2,6,-10,-3,0,-12,-6
1523946833464203,4,5,8,6,16,-6,9,9
1523946833464203,-6,-12,-29,-21,-30,3,-18,-8
1523946833476233,-5,-6,0,3,-17,-36,-14,-6
1523946833476233,4,8,-3,15,77,8,20,7
1523946833485258,-6,-10,3,1,56,58,-2,-7
1523946833485258,-1,-1,1,11,-15,-21,-4,1
1523946833498291,1,0,-7,-17,-3,-1,-7,-5
1523946833498291,-2,5,16,11,-68,-21,-4,2
1523946833507314,-4,5,16,-10,-14,2,7,2
1523946833507314,0,-4,-15,-4,1,14,3,-4
1523946833522356,-1,3,9,-19,35,4,7,5
1523946833522356,-1,-6,3,45,0,-18,-16,-7
1523946833523369,2,1,-7,-21,-13,8,3,0
1523946833523369,-3,-1,-8,9,-23,-6,1,-1
1523946833536393,0,1,-2,16,16,-5,-2,4
1523946833536393,1,-5,-17,13,56,1,-4,-3
