timestamp,x,y,z,w
1523946846586088,-0.150391,0.849121,-0.48175,-0.155945
1523946846602127,-0.150757,0.849182,-0.481445,-0.156189
1523946846623185,-0.151245,0.849304,-0.481018,-0.156372
1523946846646244,-0.151733,0.849243,-0.481079,-0.156128
1523946846670310,-0.152893,0.848999,-0.481262,-0.15564
1523946846683353,-0.154358,0.848999,-0.480896,-0.155396
1523946846706407,-0.155029,0.848755,-0.481079,-0.155273
1523946846722463,-0.155518,0.848145,-0.482117,-0.155029
1523946846743505,-0.155823,0.847961,-0.482361,-0.154846
1523946846765563,-0.156128,0.84845,-0.481506,-0.154602
1523946846782610,-0.156372,0.84906,-0.48053,-0.154053
1523946846803664,-0.156555,0.849243,-0.480286,-0.153442
1523946846825727,-0.156677,0.848938,-0.481079,-0.152771
1523946846841766,-0.156982,0.848511,-0.481628,-0.152832
1523946846862822,-0.15686,0.848633,-0.481445,-0.153076
1523946846885883,-0.156311,0.848999,-0.481018,-0.153076
1523946846901926,-0.155579,0.84906,-0.481201,-0.152832
1523946846922982,-0.154968,0.848755,-0.481995,-0.152588
1523946846946042,-0.154541,0.848572,-0.482605,-0.152222
1523946846968103,-0.154297,0.84845,-0.482971,-0.151855
1523946846983144,-0.153931,0.848328,-0.483459,-0.151306
1523946847006202,-0.153625,0.848206,-0.483948,-0.150696
1523946847028260,-0.153198,0.848145,-0.484497,-0.150024
1523946847043302,-0.152954,0.847961,-0.485046,-0.149292
1523946847066363,-0.152771,0.847534,-0.486084,-0.148621
1523946847089425,-0.152405,0.846924,-0.487427,-0.14801
1523946847103461,-0.151978,0.846008,-0.48938,-0.147339
1523946847125519,-0.151611,0.84491,-0.491577,-0.146667
1523946847148581,-0.15094,0.843445,-0.494507,-0.145874
1523946847163622,-0.149841,0.841431,-0.498535,-0.144897
1523946847185679,-0.148743,0.8396,-0.502258,-0.143677
1523946847208740,-0.148926,0.838745,-0.503784,-0.143188
1523946847223781,-0.148315,0.838745,-0.504089,-0.142944
1523946847245841,-0.146667,0.837585,-0.506836,-0.141663
1523946847267900,-0.145325,0.834717,-0.51239,-0.140015
1523946847282942,-0.144165,0.831848,-0.517822,-0.138245
1523946847306000,-0.143127,0.829956,-0.521606,-0.136658
1523946847328058,-0.141724,0.829163,-0.523621,-0.134888
1523946847343098,-0.139465,0.828186,-0.526306,-0.132935
1523946847366163,-0.137817,0.826599,-0.529602,-0.131165
1523946847388220,-0.137695,0.825806,-0.531128,-0.130188
1523946847405263,-0.138184,0.826843,-0.529602,-0.129578
1523946847426320,-0.138123,0.828369,-0.527405,-0.12854
1523946847448377,-0.138794,0.829712,-0.525269,-0.12793
1523946847464422,-0.140076,0.831848,-0.521545,-0.128113
1523946847485477,-0.141479,0.835266,-0.515564,-0.12854
1523946847508538,-0.142029,0.838501,-0.510193,-0.128479
1523946847524580,-0.142212,0.840088,-0.50769,-0.127625
1523946847545639,-0.143494,0.840271,-0.507141,-0.127136
1523946847568697,-0.145691,0.841309,-0.5047,-0.127625
1523946847584740,-0.146729,0.84314,-0.501099,-0.128174
1523946847605796,-0.147034,0.844421,-0.498901,-0.128174
1523946847627857,-0.147888,0.844482,-0.498535,-0.128296
1523946847644901,-0.149353,0.845093,-0.496765,-0.129395
1523946847665968,-0.150696,0.846863,-0.49292,-0.130981
1523946847688016,-0.152161,0.848999,-0.488342,-0.132568
1523946847705063,-0.153442,0.850464,-0.484924,-0.134033
1523946847726117,-0.154846,0.851196,-0.482849,-0.135315
1523946847748174,-0.157043,0.852112,-0.479919,-0.137451
1523946847765221,-0.15918,0.854309,-0.47467,-0.139709
1523946847786277,-0.160522,0.856384,-0.470093,-0.140686
1523946847808335,-0.160706,0.857666,-0.467834,-0.140625
1523946847824380,-0.161621,0.857788,-0.467285,-0.140503
1523946847845434,-0.163086,0.858032,-0.466064,-0.141296
1523946847868496,-0.164124,0.859863,-0.461792,-0.143066
1523946847884538,-0.164185,0.862122,-0.457031,-0.144714
1523946847905593,-0.163818,0.863586,-0.454041,-0.145569
1523946847928656,-0.164063,0.86438,-0.452454,-0.145752
1523946847944697,-0.164612,0.865112,-0.450806,-0.145935
1523946847965757,-0.16394,0.865723,-0.450073,-0.145325
